Year,IN,IA,TX,MS,WY,MN
2022,77.45578572,64.93733414,64.16835002,58.84502008,65.64155923,64.93733414
2025,71.53980475,64.52737215,60.26136254,53.43397628,62.68284686,64.52737215
2030,128.1925467,86.89081059,99.328114,86.35004639,77.81972627,86.89081059
2035,165.0121846,110.5940722,129.7468426,108.8272752,96.85200634,110.5940722
2040,168.5094438,115.780226,137.8876762,111.1395369,102.063983,115.780226
2045,134.1750009,94.04211242,113.5047873,88.54936866,82.42476786,94.04211242
