Year,IN,TX,IA,MS,MN
2020,0.00589656,0.002948281,0.004401947,0.00481143,0.004545265
2021,0.005277964,0.002253623,0.004370661,0.003970668,0.003892621
2022,0.007087405,0.006436398,0.006648443,0.007015656,0.006648443
2023,0.007036322,0.006199686,0.00638626,0.006788196,0.00638626
2024,0.006659005,0.005748171,0.006014623,0.006306062,0.006014623
2025,0.006386391,0.005522941,0.00580542,0.00602128,0.00580542
2026,0.006099132,0.005256998,0.005549205,0.005679995,0.005549205
2027,0.00587278,0.005054577,0.005335026,0.005439065,0.005335026
2028,0.005844519,0.005073195,0.005338523,0.005413476,0.005338523
2029,0.00588575,0.005148939,0.005401845,0.005476848,0.005401845
2030,0.005864044,0.005186303,0.005407366,0.005482914,0.005407366
2031,0.005979249,0.005382176,0.005541559,0.005655326,0.005541559
2032,0.006162465,0.00563889,0.005758053,0.005882822,0.005758053
2033,0.006337432,0.005863434,0.005962581,0.006092997,0.005962581
2034,0.006474483,0.00603087,0.00613574,0.006251802,0.00613574
2035,0.006573114,0.006138932,0.006251986,0.006356659,0.006251986
2036,0.006620613,0.006219347,0.006321243,0.006428864,0.006321243
2037,0.006644909,0.006257187,0.006363256,0.006464505,0.006363256
2038,0.006676371,0.006314813,0.00640923,0.00651313,0.00640923
2039,0.006689695,0.006346942,0.006430662,0.006537796,0.006430662
2040,0.006717116,0.006404794,0.006468181,0.006584888,0.006468181
2041,0.006733183,0.006403374,0.00648153,0.00658851,0.00648153
2042,0.006722218,0.006384547,0.0064705,0.006569694,0.0064705
2043,0.006668705,0.006306658,0.006408324,0.006500693,0.006408324
2044,0.006663746,0.006353995,0.006423568,0.006528516,0.006423568
2045,0.006619103,0.006322079,0.006395242,0.006495442,0.006395242
2046,0.006610141,0.006349753,0.006406779,0.006514408,0.006406779
2047,0.006615599,0.006372002,0.006423014,0.006531558,0.006423014
2048,0.006614182,0.006397605,0.006429434,0.006549977,0.006429434
2049,0.006656161,0.006457429,0.006476948,0.006607579,0.006476948
2050,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2051,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2052,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2053,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2054,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2055,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2056,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2057,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2058,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2059,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2060,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2061,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2062,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2063,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2064,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2065,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2066,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2067,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2068,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2069,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
2070,0.006684448,0.006475066,0.00650789,0.006627125,0.00650789
