Year,IN,IA,TX,MS,WY,MN
2022,77.45578572,64.93733414,64.16835002,58.84502008,65.64155923,64.93733414
2025,74.18896266,64.52737215,61.42398438,55.01472476,62.68284686,64.52737215
2030,105.4727826,76.71106165,80.07143404,78.3149001,72.72889211,76.71106165
2035,125.804701,89.42320514,93.83010424,94.22577191,83.80511597,89.42320514
2040,127.7358984,92.20455788,97.51227799,95.86254394,86.83833218,92.20455788
2045,108.7763124,80.54633026,86.48367354,79.87172613,75.40889005,80.54633026
2050,119.1064273,84.74628619,91.71693906,84.94564565,74.67114713,84.74628619
