,IN,IA,TX,MS,WY,MN
2022,48.37390621228641,39.38796864876881,32.825755101698746,47.11068038205839,43.20542121964387,39.38796864876881
2025,44.679164676448366,33.605691179786575,29.721907255430757,42.77865781615006,36.7606616736536,33.605691179786575
2030,80.06082660580444,52.7039270822747,50.81197106826025,69.13090404002844,51.221118024179034,52.7039270822747
2035,103.05600631806088,67.08122383824536,66.37287821332917,87.12592790760658,63.74820737258545,67.08122383824536
2040,105.24016965459656,70.22690369496023,70.537376880077,88.97709936724996,67.17874208927928,70.22690369496023
2045,83.797083061972,57.041574382732385,58.064144565098495,70.89165743345647,54.252166704865445,57.041574382732385
2050,95.48033118299776,61.79167910641316,63.98291125443742,76.6302055156218,53.417787441422654,61.79167910641316
