Year,Indiana,Iowa,Texas,Mississippi,Wyoming
2021,77.74229985,66.05540083,66.28649836,58.36390129,68.30197877
2022,77.45578572,64.93733414,64.16835002,58.84502008,65.64155923
2023,72.675348,63.6220832,65.36037487,52.24384652,65.10034238
2024,70.49522834,63.84334012,62.17517478,51.05800105,63.96787305
2025,69.40891505,64.52737215,60.26136254,50.12066527,62.68284686
2026,68.1272737,63.23944905,59.60099371,49.33242643,61.71453907
2027,67.21603057,62.96687694,60.39541194,49.4827688,61.46766721
2028,67.03667817,62.852403,61.42612439,50.08026551,61.14646185
2029,66.74658471,62.66757411,62.26986512,50.91349344,61.32323808
2030,67.42900963,62.94336729,62.65622874,50.54052247,61.64658968
2031,67.31268289,63.43664013,62.67900138,50.25201225,60.95664782
2032,67.15204268,63.65395261,62.61507832,50.14952175,61.36920986
2033,66.6573265,63.37180603,63.31217203,50.36677963,61.15886157
2034,66.28211717,62.91774551,63.43884779,50.32107059,61.20470369
2035,65.69724879,62.72307942,62.78681482,50.21865515,61.41277609
2036,65.20506442,62.78997105,62.82542661,49.53839695,62.0224405
2037,64.72221226,62.41409294,62.01619286,49.06872589,62.1185264
2038,64.43387606,61.97625033,61.79758377,48.70862211,62.06239326
2039,64.20525233,61.80086967,61.49501211,48.36467482,61.88425217
2040,64.20404784,61.49213568,61.29266188,48.23190157,62.02251897
2041,64.04289239,61.06543031,61.21599106,48.11454437,61.90792902
2042,63.65008665,60.61682922,60.74958883,47.65156793,61.63250436
2043,63.27107961,60.08754464,60.32522077,47.51366281,61.37553597
2044,62.77080505,59.78581919,60.02636494,47.01003412,61.33216083
2045,62.3963771,59.52045693,59.67917611,46.68822139,61.12103457
2046,62.16317087,59.3260331,59.34956664,46.4826501,61.14893565
2047,61.90890489,59.16799294,59.80173,46.26753163,61.06938839
2048,61.71253614,58.94854105,59.7590134,46.31596698,60.79778192
2049,61.41591526,58.68173887,59.55293028,45.90401571,60.63066204
2050,61.05345028,58.35675285,59.28883052,45.68780876,60.82960696
