,IN,IA,TX,MS,WY,MN
2022,87.60165564236475,73.44342234458269,72.57370962462906,66.55308105647605,74.23989330224498,73.44342234458269
2025,80.91074516906875,64.52737215,65.711483558048,60.43324906446813,63.165860286327856,64.52737215
2030,144.98438335714593,98.27256669258526,112.33902228107883,97.66096822994888,88.01326846474134,98.27256669258526
2035,186.62699550732498,125.08069907529338,146.7422752494654,123.08247079284227,109.53857131702652,125.08069907529338
2040,190.58235779777567,130.94618293250107,155.94946990611078,125.69761375413987,115.4332605515618,130.94618293250107
2045,151.75047435728976,106.36061168698765,128.3726864535058,100.14837792904353,93.22152067698363,106.36061168698765
2050,172.90799416127143,115.21773124329634,141.45835207543024,108.25520322983634,91.78780644059898,115.21773124329634
