,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,5.115628923930958,0.14040888885716007,0.5380988118730848,0.5481126012573511
1,0,100,1.0,5.214637825165456,0.14041092592640514,0.538071671841237,0.5480928152837955
2,0,100,4.0,5.362846426763793,0.14041092592640514,0.538071671841237,0.5480928152837955
3,0,200,2.0,5.4122492939632405,0.14041092592640514,0.538071671841237,0.5480928152837955
4,100,0,0.0,4.8485750177827285,0.13798454710011476,0.561155396615209,0.5727070357621392
5,100,100,1.0,4.943235600034451,0.13798454710011476,0.561155396615209,0.5727070357621392
6,100,100,4.0,5.085226473412212,0.13798454710011476,0.561155396615209,0.5727070357621392
7,100,200,2.0,5.132556764538079,0.13798454710011476,0.561155396615209,0.5727070357621392
8,250,0,0.0,4.814454842705488,0.13502937526346678,0.5934635036005625,0.6056885312158037
9,250,100,1.0,4.89553624494955,0.1349386445391702,0.5939229108749554,0.6067593859159702
10,250,100,4.0,4.902148526279076,0.13485151025795117,0.5943655601304448,0.6077913228826066
11,250,200,2.0,4.9465258756324,0.13485151025795117,0.5943655601304448,0.6077913228826066
12,500,0,0.0,4.828829093434272,0.13137508695869232,0.6403980687161881,0.6519131649041275
13,500,100,1.0,4.786114984787091,0.1312414658430329,0.6411522186154188,0.6537274779842557
14,500,100,4.0,4.832703775009167,0.13109880483815298,0.6421021682741542,0.6556755702950391
15,500,200,2.0,4.872689853590197,0.13108968058508305,0.642188852328254,0.6558005555721478
16,750,0,0.0,4.879961262892151,0.12812426035701874,0.6826126285823725,0.6923647649524207
17,750,100,1.0,4.83678282655904,0.12795724506175665,0.6834056029705189,0.6943361275445921
18,750,100,4.0,4.877489937151839,0.12777209773983056,0.6845155655414945,0.6965346119666331
19,750,200,2.0,4.914448546823603,0.12775349634824956,0.6845995807895827,0.6967562557172021
