,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,4.6285433300740015,0.1514636247094569,0.4309976393346677,0.9518373167877197
1,0,50,1.0,4.684877384245619,0.1514636247094569,0.43100164900492255,0.9518373167877197
2,0,50,4.0,4.769461502729309,0.1514636247094569,0.43100164900492255,0.9518373167877197
3,0,100,2.0,4.7976562088905395,0.1514636247094569,0.43100164900492255,0.9518373167877197
4,100,0,0.0,4.697782324227431,0.1514636247094569,0.46562089183195476,0.9518373167877197
5,100,50,1.0,4.753809249301327,0.1514636247094569,0.46571796978057417,0.9518373167877197
6,100,50,4.0,4.838263906958189,0.1514636247094569,0.4657526407698157,0.9518373167877197
7,100,100,2.0,4.866458613119419,0.1514636247094569,0.4657526407698157,0.9518373167877197
8,250,0,0.0,4.821180476261998,0.1514636247094569,0.5129526667238611,0.9518373167877197
9,250,50,1.0,4.874940947572403,0.1514636247094569,0.5136567251466109,0.9518373167877197
10,250,50,4.0,4.955618181799554,0.1514636247094569,0.5147030303907804,0.9518373167877197
11,250,100,2.0,4.983340756127365,0.1514636247094569,0.5148294723278352,0.9518373167877197
12,500,0,0.0,5.061099719847639,0.1514636247094569,0.5823211548438648,0.9518373167877197
13,500,50,1.0,5.113838031262847,0.1514636247094569,0.5832989585809106,0.9518373167877197
14,500,50,4.0,5.192113399730606,0.1514636247094569,0.5849885090750149,0.9518373167877197
15,500,100,2.0,5.219760253911301,0.1514636247094569,0.5851352296745068,0.9518373167877197
