,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,7.062313620723464,0.14993893515968734,0.44085413420510705,0.4499498264312136
1,0,100,1.0,7.17183521227181,0.14993852043964406,0.4408582355726027,0.44995278590889465
2,0,100,4.0,7.336175076333222,0.14993852043964406,0.4408582355726027,0.44995278590889465
3,0,200,2.0,7.390955031020359,0.14993852043964406,0.4408582355726027,0.44995278590889465
4,100,0,0.0,6.969165552318662,0.14760972849901977,0.4568971548487072,0.46720330916456676
5,100,100,1.0,7.074680186911104,0.14760972849901977,0.4568971548487072,0.46720330916456676
6,100,100,4.0,7.232952138799774,0.14760972849901977,0.4568971548487072,0.46720330916456676
7,100,200,2.0,7.2857094560961855,0.14760972849901977,0.4568971548487072,0.46720330916456676
8,250,0,0.0,6.499243079686401,0.144598678968615,0.4802890918912597,0.49153395488385687
9,250,100,1.0,6.593898709202886,0.14453819202992532,0.4805681843635759,0.49204662861271714
10,250,100,4.0,6.739234873712762,0.1444790538601961,0.48084257774605627,0.4925488960604597
11,250,200,2.0,6.790011336558159,0.14447929917250496,0.48084257774605627,0.4925468104954494
12,500,0,0.0,6.434205490986586,0.140610044685117,0.5161648922983254,0.5277713879003738
13,500,100,1.0,6.512939212429401,0.14048295574117775,0.5168363128503438,0.5290131321465269
14,500,100,4.0,6.407214167711014,0.14030640571426778,0.5178343445900787,0.5307477703549682
15,500,200,2.0,6.451288250364792,0.14028317773120788,0.5179686244134157,0.530976827999854
16,750,0,0.0,6.428560143064951,0.137422826451696,0.5496698466416807,0.560643393461581
17,750,100,1.0,6.499828757836799,0.13729216787552972,0.5504594722968927,0.562075781135392
18,750,100,4.0,6.395264879987664,0.13706964295614626,0.5518513814239105,0.5645320086766383
19,750,200,2.0,6.43638903087958,0.137048509573221,0.5519862477465389,0.5647663823936089
