,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),energy_from_the_grid_old,energy_to_electrolyzer_old,total_energy_old,Hydrogen Hourly production (kg)
0,454261.8140361828,454261.8140361828,0.0,454261.8140361828,480000.0,480000.0,454261.8140361828,8366.316447324267
1,454262.5749771121,454262.5749771121,0.0,454262.5749771121,480000.0,480000.0,454262.5749771121,8366.316447324267
2,454263.33591804164,454263.33591804164,0.0,454263.33591804164,480000.0,480000.0,454263.33591804164,8366.316447324267
3,454264.09685897105,454264.09685897105,0.0,454264.09685897105,480000.0,480000.0,454264.09685897105,8366.316447324267
4,454264.85779990046,454264.85779990046,0.0,454264.85779990046,480000.0,480000.0,454264.85779990046,8366.316447324267
5,454265.6187408299,454265.6187408299,0.0,454265.6187408299,480000.0,480000.0,454265.6187408299,8366.316447324267
6,454266.37968175916,454266.37968175916,0.0,454266.37968175916,480000.0,480000.0,454266.37968175916,8366.316447324267
7,454267.1406226887,454267.1406226887,0.0,454267.1406226887,480000.0,480000.0,454267.1406226887,8366.316447324267
8,454267.9015636181,454267.9015636181,0.0,454267.9015636181,480000.0,480000.0,454267.9015636181,8366.316447324267
9,454268.6625045474,454268.6625045474,0.0,454268.6625045474,480000.0,480000.0,454268.6625045474,8366.316447324267
10,454269.42344547686,454269.42344547686,0.0,454269.42344547686,480000.0,480000.0,454269.42344547686,8366.316447324267
11,454270.1843864062,454270.1843864062,0.0,454270.1843864062,480000.0,480000.0,454270.1843864062,8366.316447324267
12,454270.9453273357,454270.9453273357,0.0,454270.9453273357,480000.0,480000.0,454270.9453273357,8366.316447324267
13,454271.7062682651,454271.7062682651,0.0,454271.7062682651,480000.0,480000.0,454271.7062682651,8366.316447324267
14,454272.46720919444,454272.46720919444,0.0,454272.46720919444,480000.0,480000.0,454272.46720919444,8366.316447324267
15,454273.22815012385,454273.22815012385,0.0,454273.22815012385,480000.0,480000.0,454273.22815012385,8366.316447324267
16,454273.98909105326,454273.98909105326,0.0,454273.98909105326,480000.0,480000.0,454273.98909105326,8366.316447324267
17,454274.7500319827,454274.7500319827,0.0,454274.7500319827,480000.0,480000.0,454274.7500319827,8366.316447324267
18,454275.51097291213,454275.51097291213,0.0,454275.51097291213,480000.0,480000.0,454275.51097291213,8366.316447324267
19,454276.2719138414,454276.2719138414,0.0,454276.2719138414,480000.0,480000.0,454276.2719138414,8366.316447324267
20,454277.03285477095,454277.03285477095,0.0,454277.03285477095,480000.0,480000.0,454277.03285477095,8366.316447324267
21,454277.79379570024,454277.79379570024,0.0,454277.79379570024,480000.0,480000.0,454277.79379570024,8366.316447324267
22,454278.55473662965,454278.55473662965,0.0,454278.55473662965,480000.0,480000.0,454278.55473662965,8366.316447324267
23,454279.3156775591,454279.3156775591,0.0,454279.3156775591,480000.0,480000.0,454279.3156775591,8366.316447324267
24,454280.0766184884,454280.0766184884,0.0,454280.0766184884,480000.0,480000.0,454280.0766184884,8366.316447324267
25,454280.83755941794,454280.83755941794,0.0,454280.83755941794,480000.0,480000.0,454280.83755941794,8366.316447324267
26,454281.5985003473,454281.5985003473,0.0,454281.5985003473,480000.0,480000.0,454281.5985003473,8366.316447324267
27,454282.35944127664,454282.35944127664,0.0,454282.35944127664,480000.0,480000.0,454282.35944127664,8366.316447324267
28,454283.1203822061,454283.1203822061,0.0,454283.1203822061,480000.0,480000.0,454283.1203822061,8366.316447324267
29,454283.88132313546,454283.88132313546,0.0,454283.88132313546,480000.0,480000.0,454283.88132313546,8366.316447324267
30,454284.6422640649,454284.6422640649,0.0,454284.6422640649,480000.0,480000.0,454284.6422640649,8366.316447324267
31,454285.40320499433,454285.40320499433,0.0,454285.40320499433,480000.0,480000.0,454285.40320499433,8366.316447324267
32,454286.1641459237,454286.1641459237,0.0,454286.1641459237,480000.0,480000.0,454286.1641459237,8366.316447324267
33,454286.92508685315,454286.92508685315,0.0,454286.92508685315,480000.0,480000.0,454286.92508685315,8366.316447324267
34,454287.6860277825,454287.6860277825,0.0,454287.6860277825,480000.0,480000.0,454287.6860277825,8366.316447324267
35,454288.44696871185,454288.44696871185,0.0,454288.44696871185,480000.0,480000.0,454288.44696871185,8366.316447324267
36,454289.20790964126,454289.20790964126,0.0,454289.20790964126,480000.0,480000.0,454289.20790964126,8366.316447324267
37,454289.9688505707,454289.9688505707,0.0,454289.9688505707,480000.0,480000.0,454289.9688505707,8366.316447324267
38,454290.7297915002,454290.7297915002,0.0,454290.7297915002,480000.0,480000.0,454290.7297915002,8366.316447324267
