,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),energy_from_the_grid_old,energy_to_electrolyzer_old,total_energy_old,Hydrogen Hourly production (kg)
39,454291.4907324295,454291.4907324295,0.0,454291.4907324295,480000.0,480000.0,454291.4907324295,8366.316447324267
40,454292.2516733589,454292.2516733589,0.0,454292.2516733589,480000.0,480000.0,454292.2516733589,8366.316447324267
41,454293.01261428825,454293.01261428825,0.0,454293.01261428825,480000.0,480000.0,454293.01261428825,8366.316447324267
42,454293.77355521766,454293.77355521766,0.0,454293.77355521766,480000.0,480000.0,454293.77355521766,8366.316447324267
43,454294.53449614707,454294.53449614707,0.0,454294.53449614707,480000.0,480000.0,454294.53449614707,8366.316447324267
44,454295.2954370766,454295.2954370766,0.0,454295.2954370766,480000.0,480000.0,454295.2954370766,8366.316447324267
45,454296.05637800595,454296.05637800595,0.0,454296.05637800595,480000.0,480000.0,454296.05637800595,8366.316447324267
46,454296.81731893535,454296.81731893535,0.0,454296.81731893535,480000.0,480000.0,454296.81731893535,8366.316447324267
47,454297.5782598647,454297.5782598647,0.0,454297.5782598647,480000.0,480000.0,454297.5782598647,8366.316447324267
48,454298.3392007941,454298.3392007941,0.0,454298.3392007941,480000.0,480000.0,454298.3392007941,8366.316447324267
49,454299.1001417236,454299.1001417236,0.0,454299.1001417236,480000.0,480000.0,454299.1001417236,8366.316447324267
50,454299.8610826529,454299.8610826529,0.0,454299.8610826529,480000.0,480000.0,454299.8610826529,8366.316447324267
51,454300.62202358234,454300.62202358234,0.0,454300.62202358234,480000.0,480000.0,454300.62202358234,8366.316447324267
52,454301.38296451175,454301.38296451175,0.0,454301.38296451175,480000.0,480000.0,454301.38296451175,8366.316447324267
53,454302.1439054411,454302.1439054411,0.0,454302.1439054411,480000.0,480000.0,454302.1439054411,8366.316447324267
54,454302.9048463705,454302.9048463705,0.0,454302.9048463705,480000.0,480000.0,454302.9048463705,8366.316447324267
55,454303.6657872999,454303.6657872999,0.0,454303.6657872999,480000.0,480000.0,454303.6657872999,8366.316447324267
56,454304.4267282293,454304.4267282293,0.0,454304.4267282293,480000.0,480000.0,454304.4267282293,8366.316447324267
57,454305.1876691588,454305.1876691588,0.0,454305.1876691588,480000.0,480000.0,454305.1876691588,8366.316447324267
58,454305.9486100882,454305.9486100882,0.0,454305.9486100882,480000.0,480000.0,454305.9486100882,8366.316447324267
59,454306.70955101756,454306.70955101756,0.0,454306.70955101756,480000.0,480000.0,454306.70955101756,8366.316447324267
60,454307.47049194697,454307.47049194697,0.0,454307.47049194697,480000.0,480000.0,454307.47049194697,8366.316447324267
61,454308.2314328763,454308.2314328763,0.0,454308.2314328763,480000.0,480000.0,454308.2314328763,8366.316447324267
62,454308.9923738058,454308.9923738058,0.0,454308.9923738058,480000.0,480000.0,454308.9923738058,8366.316447324267
63,454309.7533147351,454309.7533147351,0.0,454309.7533147351,480000.0,480000.0,454309.7533147351,8366.316447324267
64,454310.5142556646,454310.5142556646,0.0,454310.5142556646,480000.0,480000.0,454310.5142556646,8366.316447324267
65,454311.27519659395,454311.27519659395,0.0,454311.27519659395,480000.0,480000.0,454311.27519659395,8366.316447324267
66,454312.0361375233,454312.0361375233,0.0,454312.0361375233,480000.0,480000.0,454312.0361375233,8366.316447324267
67,454312.7970784528,454312.7970784528,0.0,454312.7970784528,480000.0,480000.0,454312.7970784528,8366.316447324267
68,454313.55801938206,454313.55801938206,0.0,454313.55801938206,480000.0,480000.0,454313.55801938206,8366.316447324267
69,454314.3189603115,454314.3189603115,0.0,454314.3189603115,480000.0,480000.0,454314.3189603115,8366.316447324267
70,454315.079901241,454315.079901241,0.0,454315.079901241,480000.0,480000.0,454315.079901241,8366.316447324267
71,454315.84084217035,454315.84084217035,0.0,454315.84084217035,480000.0,480000.0,454315.84084217035,8366.316447324267
72,454316.6017830998,454316.6017830998,0.0,454316.6017830998,480000.0,480000.0,454316.6017830998,8366.316447324267
73,454317.36272402917,454317.36272402917,0.0,454317.36272402917,480000.0,480000.0,454317.36272402917,8366.316447324267
74,454318.1236649585,454318.1236649585,0.0,454318.1236649585,480000.0,480000.0,454318.1236649585,8366.316447324267
75,454318.88460588804,454318.88460588804,0.0,454318.88460588804,480000.0,480000.0,454318.88460588804,8366.316447324267
76,454319.6455468174,454319.6455468174,0.0,454319.6455468174,480000.0,480000.0,454319.6455468174,8366.316447324267
77,454320.4064877468,454320.4064877468,0.0,454320.4064877468,480000.0,480000.0,454320.4064877468,8366.316447324267
78,454321.16742867616,454321.16742867616,0.0,454321.16742867616,480000.0,480000.0,454321.16742867616,8366.316447324267
79,454321.92836960556,454321.92836960556,0.0,454321.92836960556,480000.0,480000.0,454321.92836960556,8366.316447324267
80,454322.68931053503,454322.68931053503,0.0,454322.68931053503,480000.0,480000.0,454322.68931053503,8366.316447324267
81,454323.4502514643,454323.4502514643,0.0,454323.4502514643,480000.0,480000.0,454323.4502514643,8366.316447324267
82,454324.21119239373,454324.21119239373,0.0,454324.21119239373,480000.0,480000.0,454324.21119239373,8366.316447324267
83,454324.9721333232,454324.9721333232,0.0,454324.9721333232,480000.0,480000.0,454324.9721333232,8366.316447324267
84,454325.7330742526,454325.7330742526,0.0,454325.7330742526,480000.0,480000.0,454325.7330742526,8366.316447324267
85,454326.4940151821,454326.4940151821,0.0,454326.4940151821,480000.0,480000.0,454326.4940151821,8366.316447324267
86,454327.25495611137,454327.25495611137,0.0,454327.25495611137,480000.0,480000.0,454327.25495611137,8366.316447324267
87,454328.0158970408,454328.0158970408,0.0,454328.0158970408,480000.0,480000.0,454328.0158970408,8366.316447324267
88,454328.77683797025,454328.77683797025,0.0,454328.77683797025,480000.0,480000.0,454328.77683797025,8366.316447324267
89,454329.5377788996,454329.5377788996,0.0,454329.5377788996,480000.0,480000.0,454329.5377788996,8366.316447324267
90,454330.29871982906,454330.29871982906,0.0,454330.29871982906,480000.0,480000.0,454330.29871982906,8366.316447324267
91,454331.0596607584,454331.0596607584,0.0,454331.0596607584,480000.0,480000.0,454331.0596607584,8366.316447324267
92,454331.82060168777,454331.82060168777,0.0,454331.82060168777,480000.0,480000.0,454331.82060168777,8366.316447324267
93,454332.58154261723,454332.58154261723,0.0,454332.58154261723,480000.0,480000.0,454332.58154261723,8366.316447324267
94,454333.3424835466,454333.3424835466,0.0,454333.3424835466,480000.0,480000.0,454333.3424835466,8366.316447324267
95,454334.10342447594,454334.10342447594,0.0,454334.10342447594,480000.0,480000.0,454334.10342447594,8366.316447324267
96,454334.8643654054,454334.8643654054,0.0,454334.8643654054,480000.0,480000.0,454334.8643654054,8366.316447324267
97,454335.6253063348,454335.6253063348,0.0,454335.6253063348,480000.0,480000.0,454335.6253063348,8366.316447324267
98,454336.3862472642,454336.3862472642,0.0,454336.3862472642,480000.0,480000.0,454336.3862472642,8366.316447324267
99,454337.14718819363,454337.14718819363,0.0,454337.14718819363,480000.0,480000.0,454337.14718819363,8366.316447324267
100,454337.90812912304,454337.90812912304,0.0,454337.90812912304,480000.0,480000.0,454337.90812912304,8366.316447324267
101,454338.66907005245,454338.66907005245,0.0,454338.66907005245,480000.0,480000.0,454338.66907005245,8366.316447324267
102,454339.43001098186,454339.43001098186,0.0,454339.43001098186,480000.0,480000.0,454339.43001098186,8366.316447324267
103,454340.1909519112,454340.1909519112,0.0,454340.1909519112,480000.0,480000.0,454340.1909519112,8366.316447324267
104,454340.9518928406,454340.9518928406,0.0,454340.9518928406,480000.0,480000.0,454340.9518928406,8366.316447324267
105,454341.71283377,454341.71283377,0.0,454341.71283377,480000.0,480000.0,454341.71283377,8366.316447324267
106,454342.4737746995,454342.4737746995,0.0,454342.4737746995,480000.0,480000.0,454342.4737746995,8366.316447324267
107,454343.23471562885,454343.23471562885,0.0,454343.23471562885,480000.0,480000.0,454343.23471562885,8366.316447324267
108,454343.99565655814,454343.99565655814,0.0,454343.99565655814,480000.0,480000.0,454343.99565655814,8366.316447324267
109,454344.75659748766,454344.75659748766,0.0,454344.75659748766,480000.0,480000.0,454344.75659748766,8366.316447324267
110,454345.517538417,454345.517538417,0.0,454345.517538417,480000.0,480000.0,454345.517538417,8366.316447324267
111,454346.27847934654,454346.27847934654,0.0,454346.27847934654,480000.0,480000.0,454346.27847934654,8366.316447324267
112,454347.0394202759,454347.0394202759,0.0,454347.0394202759,480000.0,480000.0,454347.0394202759,8366.316447324267
113,454347.8003612052,454347.8003612052,0.0,454347.8003612052,480000.0,480000.0,454347.8003612052,8366.316447324267
114,454348.5613021347,454348.5613021347,0.0,454348.5613021347,480000.0,480000.0,454348.5613021347,8366.316447324267
115,454349.3222430641,454349.3222430641,0.0,454349.3222430641,480000.0,480000.0,454349.3222430641,8366.316447324267
116,454350.0831839934,454350.0831839934,0.0,454350.0831839934,480000.0,480000.0,454350.0831839934,8366.316447324267
117,454350.8441249229,454350.8441249229,0.0,454350.8441249229,480000.0,480000.0,454350.8441249229,8366.316447324267
118,454351.6050658522,454351.6050658522,0.0,454351.6050658522,480000.0,480000.0,454351.6050658522,8366.316447324267
119,454352.3660067817,454352.3660067817,0.0,454352.3660067817,480000.0,480000.0,454352.3660067817,8366.316447324267
120,454353.1269477111,454353.1269477111,0.0,454353.1269477111,480000.0,480000.0,454353.1269477111,8366.316447324267
121,454353.8878886404,454353.8878886404,0.0,454353.8878886404,480000.0,480000.0,454353.8878886404,8366.316447324267
122,454354.64882956987,454354.64882956987,0.0,454354.64882956987,480000.0,480000.0,454354.64882956987,8366.316447324267
123,454355.4097704992,454355.4097704992,0.0,454355.4097704992,480000.0,480000.0,454355.4097704992,8366.316447324267
124,454356.17071142874,454356.17071142874,0.0,454356.17071142874,480000.0,480000.0,454356.17071142874,8366.316447324267
125,454356.9316523581,454356.9316523581,0.0,454356.9316523581,480000.0,480000.0,454356.9316523581,8366.316447324267
126,454357.69259328744,454357.69259328744,0.0,454357.69259328744,480000.0,480000.0,454357.69259328744,8366.316447324267
127,454358.45353421697,454358.45353421697,0.0,454358.45353421697,480000.0,480000.0,454358.45353421697,8366.316447324267
128,454359.21447514626,454359.21447514626,0.0,454359.21447514626,480000.0,480000.0,454359.21447514626,8366.316447324267
129,454359.9754160757,454359.9754160757,0.0,454359.9754160757,480000.0,480000.0,454359.9754160757,8366.316447324267
130,454360.73635700514,454360.73635700514,0.0,454360.73635700514,480000.0,480000.0,454360.73635700514,8366.316447324267
131,454361.49729793443,454361.49729793443,0.0,454361.49729793443,480000.0,480000.0,454361.49729793443,8366.316447324267
132,454362.25823886396,454362.25823886396,0.0,454362.25823886396,480000.0,480000.0,454362.25823886396,8366.316447324267
133,454363.0191797933,454363.0191797933,0.0,454363.0191797933,480000.0,480000.0,454363.0191797933,8366.316447324267
134,454363.78012072266,454363.78012072266,0.0,454363.78012072266,480000.0,480000.0,454363.78012072266,8366.316447324267
135,454364.54106165207,454364.54106165207,0.0,454364.54106165207,480000.0,480000.0,454364.54106165207,8366.316447324267
136,454365.3020025815,454365.3020025815,0.0,454365.3020025815,480000.0,480000.0,454365.3020025815,8366.316447324267
137,454366.06294351094,454366.06294351094,0.0,454366.06294351094,480000.0,480000.0,454366.06294351094,8366.316447324267
138,454366.82388444035,454366.82388444035,0.0,454366.82388444035,480000.0,480000.0,454366.82388444035,8366.316447324267
139,454367.5848253697,454367.5848253697,0.0,454367.5848253697,480000.0,480000.0,454367.5848253697,8366.316447324267
140,454368.3457662991,454368.3457662991,0.0,454368.3457662991,480000.0,480000.0,454368.3457662991,8366.316447324267
141,454369.1067072285,454369.1067072285,0.0,454369.1067072285,480000.0,480000.0,454369.1067072285,8366.316447324267
142,454369.86764815793,454369.86764815793,0.0,454369.86764815793,480000.0,480000.0,454369.86764815793,8366.316447324267
143,454370.6285890873,454370.6285890873,0.0,454370.6285890873,480000.0,480000.0,454370.6285890873,8366.316447324267
144,454371.3895300167,454371.3895300167,0.0,454371.3895300167,480000.0,480000.0,454371.3895300167,8366.316447324267
145,454372.15047094616,454372.15047094616,0.0,454372.15047094616,480000.0,480000.0,454372.15047094616,8366.316447324267
146,454372.9114118755,454372.9114118755,0.0,454372.9114118755,480000.0,480000.0,454372.9114118755,8366.316447324267
147,454373.6723528049,454373.6723528049,0.0,454373.6723528049,480000.0,480000.0,454373.6723528049,8366.316447324267
148,454374.4332937343,454374.4332937343,0.0,454374.4332937343,480000.0,480000.0,454374.4332937343,8366.316447324267
149,454375.1942346637,454375.1942346637,0.0,454375.1942346637,480000.0,480000.0,454375.1942346637,8366.316447324267
150,454375.95517559315,454375.95517559315,0.0,454375.95517559315,480000.0,480000.0,454375.95517559315,8366.316447324267
151,454376.71611652256,454376.71611652256,0.0,454376.71611652256,480000.0,480000.0,454376.71611652256,8366.316447324267
152,454377.4770574519,454377.4770574519,0.0,454377.4770574519,480000.0,480000.0,454377.4770574519,8366.316447324267
153,454378.2379983814,454378.2379983814,0.0,454378.2379983814,480000.0,480000.0,454378.2379983814,8366.316447324267
154,454378.9989393108,454378.9989393108,0.0,454378.9989393108,480000.0,480000.0,454378.9989393108,8366.316447324267
155,454379.7598802401,454379.7598802401,0.0,454379.7598802401,480000.0,480000.0,454379.7598802401,8366.316447324267
156,454380.52082116954,454380.52082116954,0.0,454380.52082116954,480000.0,480000.0,454380.52082116954,8366.316447324267
157,454381.28176209895,454381.28176209895,0.0,454381.28176209895,480000.0,480000.0,454381.28176209895,8366.316447324267
158,454382.04270302836,454382.04270302836,0.0,454382.04270302836,480000.0,480000.0,454382.04270302836,8366.316447324267
159,454382.80364395777,454382.80364395777,0.0,454382.80364395777,480000.0,480000.0,454382.80364395777,8366.316447324267
160,454383.5645848871,454383.5645848871,0.0,454383.5645848871,480000.0,480000.0,454383.5645848871,8366.316447324267
161,454384.32552581653,454384.32552581653,0.0,454384.32552581653,480000.0,480000.0,454384.32552581653,8366.316447324267
162,454385.08646674594,454385.08646674594,0.0,454385.08646674594,480000.0,480000.0,454385.08646674594,8366.316447324267
163,454385.84740767535,454385.84740767535,0.0,454385.84740767535,480000.0,480000.0,454385.84740767535,8366.316447324267
164,454386.60834860476,454386.60834860476,0.0,454386.60834860476,480000.0,480000.0,454386.60834860476,8366.316447324267
165,454387.36928953417,454387.36928953417,0.0,454387.36928953417,480000.0,480000.0,454387.36928953417,8366.316447324267
166,454388.13023046363,454388.13023046363,0.0,454388.13023046363,480000.0,480000.0,454388.13023046363,8366.316447324267
167,454388.891171393,454388.891171393,0.0,454388.891171393,480000.0,480000.0,454388.891171393,8366.316447324267
168,454389.65211232234,454389.65211232234,0.0,454389.65211232234,480000.0,480000.0,454389.65211232234,8366.316447324267
169,454390.41305325186,454390.41305325186,0.0,454390.41305325186,480000.0,480000.0,454390.41305325186,8366.316447324267
170,454391.1739941811,454391.1739941811,0.0,454391.1739941811,480000.0,480000.0,454391.1739941811,8366.316447324267
171,454391.9349351106,454391.9349351106,0.0,454391.9349351106,480000.0,480000.0,454391.9349351106,8366.316447324267
172,454392.69587604003,454392.69587604003,0.0,454392.69587604003,480000.0,480000.0,454392.69587604003,8366.316447324267
173,454393.4568169693,454393.4568169693,0.0,454393.4568169693,480000.0,480000.0,454393.4568169693,8366.316447324267
174,454394.2177578988,454394.2177578988,0.0,454394.2177578988,480000.0,480000.0,454394.2177578988,8366.316447324267
175,454394.97869882814,454394.97869882814,0.0,454394.97869882814,480000.0,480000.0,454394.97869882814,8366.316447324267
176,454395.73963975755,454395.73963975755,0.0,454395.73963975755,480000.0,480000.0,454395.73963975755,8366.316447324267
177,454396.500580687,454396.500580687,0.0,454396.500580687,480000.0,480000.0,454396.500580687,8366.316447324267
178,454397.2615216164,454397.2615216164,0.0,454397.2615216164,480000.0,480000.0,454397.2615216164,8366.316447324267
179,454398.02246254584,454398.02246254584,0.0,454398.02246254584,480000.0,480000.0,454398.02246254584,8366.316447324267
180,454398.7834034752,454398.7834034752,0.0,454398.7834034752,480000.0,480000.0,454398.7834034752,8366.316447324267
181,454399.5443444046,454399.5443444046,0.0,454399.5443444046,480000.0,480000.0,454399.5443444046,8366.316447324267
182,454400.30528533406,454400.30528533406,0.0,454400.30528533406,480000.0,480000.0,454400.30528533406,8366.316447324267
183,454401.06622626336,454401.06622626336,0.0,454401.06622626336,480000.0,480000.0,454401.06622626336,8366.316447324267
184,454401.8271671929,454401.8271671929,0.0,454401.8271671929,480000.0,480000.0,454401.8271671929,8366.316447324267
185,454402.5881081222,454402.5881081222,0.0,454402.5881081222,480000.0,480000.0,454402.5881081222,8366.316447324267
186,454403.3490490516,454403.3490490516,0.0,454403.3490490516,480000.0,480000.0,454403.3490490516,8366.316447324267
187,454404.10998998105,454404.10998998105,0.0,454404.10998998105,480000.0,480000.0,454404.10998998105,8366.316447324267
188,454404.87093091034,454404.87093091034,0.0,454404.87093091034,480000.0,480000.0,454404.87093091034,8366.316447324267
189,454405.63187183975,454405.63187183975,0.0,454405.63187183975,480000.0,480000.0,454405.63187183975,8366.316447324267
190,454406.3928127692,454406.3928127692,0.0,454406.3928127692,480000.0,480000.0,454406.3928127692,8366.316447324267
191,454407.1537536986,454407.1537536986,0.0,454407.1537536986,480000.0,480000.0,454407.1537536986,8366.316447324267
192,454407.9146946281,454407.9146946281,0.0,454407.9146946281,480000.0,480000.0,454407.9146946281,8366.316447324267
193,454408.67563555745,454408.67563555745,0.0,454408.67563555745,480000.0,480000.0,454408.67563555745,8366.316447324267
194,454409.4365764868,454409.4365764868,0.0,454409.4365764868,480000.0,480000.0,454409.4365764868,8366.316447324267
195,454410.19751741627,454410.19751741627,0.0,454410.19751741627,480000.0,480000.0,454410.19751741627,8366.316447324267
196,454410.9584583457,454410.9584583457,0.0,454410.9584583457,480000.0,480000.0,454410.9584583457,8366.316447324267
197,454411.7193992751,454411.7193992751,0.0,454411.7193992751,480000.0,480000.0,454411.7193992751,8366.316447324267
198,454412.48034020443,454412.48034020443,0.0,454412.48034020443,480000.0,480000.0,454412.48034020443,8366.316447324267
199,454413.24128113384,454413.24128113384,0.0,454413.24128113384,480000.0,480000.0,454413.24128113384,8366.316447324267
200,454414.00222206325,454414.00222206325,0.0,454414.00222206325,480000.0,480000.0,454414.00222206325,8366.316447324267
201,454414.7631629926,454414.7631629926,0.0,454414.7631629926,480000.0,480000.0,454414.7631629926,8366.316447324267
202,454415.52410392195,454415.52410392195,0.0,454415.52410392195,480000.0,480000.0,454415.52410392195,8366.316447324267
203,454416.2850448514,454416.2850448514,0.0,454416.2850448514,480000.0,480000.0,454416.2850448514,8366.316447324267
204,454417.0459857809,454417.0459857809,0.0,454417.0459857809,480000.0,480000.0,454417.0459857809,8366.316447324267
205,454417.8069267103,454417.8069267103,0.0,454417.8069267103,480000.0,480000.0,454417.8069267103,8366.316447324267
206,454418.56786763965,454418.56786763965,0.0,454418.56786763965,480000.0,480000.0,454418.56786763965,8366.316447324267
207,454419.328808569,454419.328808569,0.0,454419.328808569,480000.0,480000.0,454419.328808569,8366.316447324267
208,454420.0897494985,454420.0897494985,0.0,454420.0897494985,480000.0,480000.0,454420.0897494985,8366.316447324267
209,454420.8506904279,454420.8506904279,0.0,454420.8506904279,480000.0,480000.0,454420.8506904279,8366.316447324267
210,454421.6116313573,454421.6116313573,0.0,454421.6116313573,480000.0,480000.0,454421.6116313573,8366.316447324267
211,454422.3725722867,454422.3725722867,0.0,454422.3725722867,480000.0,480000.0,454422.3725722867,8366.316447324267
212,454423.133513216,454423.133513216,0.0,454423.133513216,480000.0,480000.0,454423.133513216,8366.316447324267
213,454423.8944541455,454423.8944541455,0.0,454423.8944541455,480000.0,480000.0,454423.8944541455,8366.316447324267
214,454424.6553950748,454424.6553950748,0.0,454424.6553950748,480000.0,480000.0,454424.6553950748,8366.316447324267
215,454425.41633600416,454425.41633600416,0.0,454425.41633600416,480000.0,480000.0,454425.41633600416,8366.316447324267
216,454426.1772769337,454426.1772769337,0.0,454426.1772769337,480000.0,480000.0,454426.1772769337,8366.316447324267
217,454426.93821786303,454426.93821786303,0.0,454426.93821786303,480000.0,480000.0,454426.93821786303,8366.316447324267
218,454427.6991587925,454427.6991587925,0.0,454427.6991587925,480000.0,480000.0,454427.6991587925,8366.316447324267
219,454428.4600997219,454428.4600997219,0.0,454428.4600997219,480000.0,480000.0,454428.4600997219,8366.316447324267
220,454429.2210406512,454429.2210406512,0.0,454429.2210406512,480000.0,480000.0,454429.2210406512,8366.316447324267
221,454429.9819815807,454429.9819815807,0.0,454429.9819815807,480000.0,480000.0,454429.9819815807,8366.316447324267
222,454430.7429225101,454430.7429225101,0.0,454430.7429225101,480000.0,480000.0,454430.7429225101,8366.316447324267
223,454431.50386343943,454431.50386343943,0.0,454431.50386343943,480000.0,480000.0,454431.50386343943,8366.316447324267
224,454432.2648043689,454432.2648043689,0.0,454432.2648043689,480000.0,480000.0,454432.2648043689,8366.316447324267
225,454433.02574529825,454433.02574529825,0.0,454433.02574529825,480000.0,480000.0,454433.02574529825,8366.316447324267
226,454433.7866862277,454433.7866862277,0.0,454433.7866862277,480000.0,480000.0,454433.7866862277,8366.316447324267
227,454434.54762715707,454434.54762715707,0.0,454434.54762715707,480000.0,480000.0,454434.54762715707,8366.316447324267
228,454435.3085680864,454435.3085680864,0.0,454435.3085680864,480000.0,480000.0,454435.3085680864,8366.316447324267
229,454436.0695090159,454436.0695090159,0.0,454436.0695090159,480000.0,480000.0,454436.0695090159,8366.316447324267
230,454436.8304499453,454436.8304499453,0.0,454436.8304499453,480000.0,480000.0,454436.8304499453,8366.316447324267
231,454437.59139087476,454437.59139087476,0.0,454437.59139087476,480000.0,480000.0,454437.59139087476,8366.316447324267
232,454438.35233180405,454438.35233180405,0.0,454438.35233180405,480000.0,480000.0,454438.35233180405,8366.316447324267
233,454439.11327273346,454439.11327273346,0.0,454439.11327273346,480000.0,480000.0,454439.11327273346,8366.316447324267
234,454439.874213663,454439.874213663,0.0,454439.874213663,480000.0,480000.0,454439.874213663,8366.316447324267
235,454440.6351545923,454440.6351545923,0.0,454440.6351545923,480000.0,480000.0,454440.6351545923,8366.316447324267
236,454441.3960955217,454441.3960955217,0.0,454441.3960955217,480000.0,480000.0,454441.3960955217,8366.316447324267
237,454442.1570364511,454442.1570364511,0.0,454442.1570364511,480000.0,480000.0,454442.1570364511,8366.316447324267
238,454442.91797738045,454442.91797738045,0.0,454442.91797738045,480000.0,480000.0,454442.91797738045,8366.316447324267
239,454443.67891831,454443.67891831,0.0,454443.67891831,480000.0,480000.0,454443.67891831,8366.316447324267
240,454444.4398592393,454444.4398592393,0.0,454444.4398592393,480000.0,480000.0,454444.4398592393,8366.316447324267
241,454445.2008001686,454445.2008001686,0.0,454445.2008001686,480000.0,480000.0,454445.2008001686,8366.316447324267
242,454445.9617410981,454445.9617410981,0.0,454445.9617410981,480000.0,480000.0,454445.9617410981,8366.316447324267
243,454446.7226820275,454446.7226820275,0.0,454446.7226820275,480000.0,480000.0,454446.7226820275,8366.316447324267
244,454447.48362295696,454447.48362295696,0.0,454447.48362295696,480000.0,480000.0,454447.48362295696,8366.316447324267
245,454448.2445638863,454448.2445638863,0.0,454448.2445638863,480000.0,480000.0,454448.2445638863,8366.316447324267
246,454449.0055048157,454449.0055048157,0.0,454449.0055048157,480000.0,480000.0,454449.0055048157,8366.316447324267
